NAME,BRANCH,ADDRESS_EN,ADDRESS_TH,INDUSTRY,PHONE,FAX,WEB_SITE,GROUP_OF_COMPANY
AB Food & Beverages (Thailand) Limited,,"89/5 Soi Wat Suan Som, Moo 10, Poochaosamingprai Rd., Samrongtai, Prapradaeng, Samutprakarn 10130 Thailand",,Food & Beverage,02 3639000,02 3639001,,
AB Food & Beverages (Thailand) Limited,,"89/5 Soi Wat Suan Som, Moo 10, Poochaosamingprai Rd., Samrongtai, Prapradaeng, Samutprakarn 10130 Thailand",,Food & Beverage,02 3639000,02 3639001,,
ABSG Consulting Inc.,,"1/15 Bangnathani Building, 7th Fl., Room 7B1,  Soi Bangna-Trad 34 Bangna-Trad Rd., K.M. 3 Khet Bangna, Khweang Bangna, Bangkok 10260",,IT Solution,02 3992420,02 3992419,http://www.absconsulting.com/abscOffices/showdetailList.cfm?country=THAILAND,
ABSG Consulting Inc.,,"1/15 Bangnathani Building, 7th Fl., Room 7B1,  Soi Bangna-Trad 34 Bangna-Trad Rd., K.M. 3 Khet Bangna, Khweang Bangna, Bangkok 10260",,IT Solution,02 3992420,02 3992419,http://www.absconsulting.com/abscOffices/showdetailList.cfm?country=THAILAND,
ABSG Consulting Inc.,,"1/15 Bangnathani Building, 7th Fl., Room 7B1,  Soi Bangna-Trad 34 Bangna-Trad Rd., K.M. 3 Khet Bangna, Khweang Bangna, Bangkok 10260",,IT Solution,02 3992420,02 3992419,http://www.absconsulting.com/abscOffices/showdetailList.cfm?country=THAILAND,
"Accord Pilot Logistics (Thailand) Co., Ltd.",,"2024/84 Sukhumvit 50, Rimthang rot fai Rd., Phrakanong,Klongtoey Bangkok 10260, Thailand",,Transport & Warehouse,02 3330505-18,,http://www.pilot.co.th/index.php?option=com_content&view=article&id=51&Itemid=59,
"ACE Ina Overseas Insurance Co., Ltd.",,"399 Interchange 21 Building, 26-30 Fl., Sukhumvit Rd., Klongtoeynue, Wattana, Bangkok 10110 Thailand",,"Bank, Investment and Insurance",02 6114040,02 6114452,www.aceinsurance.co.th,
"ACE Ina Overseas Insurance Co., Ltd.",,"399 Interchange 21 Building, 26-30 Fl., Sukhumvit Rd., Klongtoeynue, Wattana, Bangkok 10110 Thailand",,"Bank, Investment and Insurance",02 6114040,02 6114453,www.aceinsurance.co.th,
"ACE Ina Overseas Insurance Co., Ltd.",,"399 Interchange 21 Building, 26-30 Fl., Sukhumvit Rd., Klongtoeynue, Wattana, Bangkok 10110 Thailand",,"Bank, Investment and Insurance",02 6114040,02 6114453,www.aceinsurance.co.th,
"ACE Ina Overseas Insurance Co., Ltd.",,"399 Interchange 21 Building, 26-30 Fl., Sukhumvit Rd., Klongtoeynue, Wattana, Bangkok 10110 Thailand",,"Bank, Investment and Insurance",02 6114040,02 6114452,www.aceinsurance.co.th,
"ACE Ina Overseas Insurance Co., Ltd.",,"399 Interchange 21 Building, 26-30 Fl., Sukhumvit Rd., Klongtoeynue, Wattana, Bangkok 10110 Thailand",,"Bank, Investment and Insurance",02 6114040,02 6114453,www.aceinsurance.co.th,
"ACE Ina Overseas Insurance Co., Ltd.",,"399 Interchange 21 Building, 26-30 Fl., Sukhumvit Rd., Klongtoeynue, Wattana, Bangkok 10110 Thailand",,"Bank, Investment and Insurance",02 6114040,02 6114453,www.aceinsurance.co.th,
"ACE Ina Overseas Insurance Co., Ltd.",,"399 Interchange 21 Building, 26-30 Fl., Sukhumvit Rd., Klongtoeynue, Wattana, Bangkok 10110 Thailand",,"Bank, Investment and Insurance",02 6114040,02 6114452,www.aceinsurance.co.th,
"Adidas (Thailand) Co., Ltd.",,"22nd Fl., CRC Tower All Seasons Place, 87/2 Wireless Rd., Lumpini, Patumwan, Bangkok 10330 Thailand",,Consumer Product,02 6603900,,http://www.adidas.co.th/,
"Adidas (Thailand) Co., Ltd.",,"22nd Fl., CRC Tower All Seasons Place, 87/2 Wireless Rd., Lumpini, Patumwan, Bangkok 10330 Thailand",,Consumer Product,02 6603900,,http://www.adidas.co.th/,
"Adidas (Thailand) Co., Ltd.",,"22nd Fl., CRC Tower All Seasons Place, 87/2 Wireless Rd., Lumpini, Patumwan, Bangkok 10330 Thailand",,Consumer Product,02 6603900,,http://www.adidas.co.th/,
Aditya Birla Chemicals (Thailand) Limited,(Epoxy Division),"No.2, I-5 Rd., Maptaphut Industrial Estate, Maptaphut, Muang Rayong, Rayong 21150 Thailand",,"Chemical, Petrochemical, Petroleum, Oil & Gas",038 685233-4,038 683982,,
Aditya Birla Chemicals (Thailand) Limited,(Epoxy Division),"No.2, I-5 Rd., Maptaphut Industrial Estate, Maptaphut, Muang Rayong, Rayong 21150 Thailand",,"Chemical, Petrochemical, Petroleum, Oil & Gas",038 685233-4,038 683982,,
Advance Info Service PCL.,,"INTOUCH Tower 25th Fl., 414 Phaholyothin Rd., Samsen Nai, Phayathai, Bangkok 10400",,Communication,02 2995000,02 2995800,,
Advance Info Service PCL.,,"INTOUCH Tower 25th Fl., 414 Phaholyothin Rd., Samsen Nai, Phayathai, Bangkok 10400",,Communication,02 2995000,02 2995800,,
Advance Info Service PCL.,,"INTOUCH Tower 25th Fl., 414 Phaholyothin Rd., Samsen Nai, Phayathai, Bangkok 10400",,Communication,02 2995000,02 2995800,,
Advance Info Service PCL.,,"INTOUCH Tower 25th Fl., 414 Phaholyothin Rd., Samsen Nai, Phayathai, Bangkok 10400",,Communication,02 2995000,02 2995800,,
"AEON Thana Sinsap (Thailand) Public Co., Ltd.",,"388 Exchange Tower, 27th Fl., Sukhumvit Rd., Khwaeng Klongtoey, Khet Klongtoey, Bangkok 10110",,Finance,02 6650123,,,
"AEON Thana Sinsap (Thailand) Public Co., Ltd.",,"388 Exchange Tower, 27th Fl., Sukhumvit Rd., Khwaeng Klongtoey, Khet Klongtoey, Bangkok 10110",,Finance,02 6650123,,,
Aeronautical Radio of Thailand Limited,(Head Office),"102 Ngamduplee, Tungmahamek, Sathorn, Bangkok 10120 Thailand",,Communication,02 2873531-41,02 2859565,www.aerothai.co.th,
Aeronautical Radio of Thailand Limited,(Head Office),"102 Ngamduplee, Tungmahamek, Bangkok 10120 Thailand",,Communication,02 2873531-41,02 2859565,www.aerothai.co.th,
Aeronautical Radio of Thailand Limited,(Head Office),"102 Ngamduplee, Tungmahamek, Bangkok 10120 Thailand",,Communication,02 2873531-41,02 2859565,www.aerothai.co.th,
Aeronautical Radio of Thailand Limited,(Head Office),"102 Ngamduplee, Tungmahamek, Sathorn, Bangkok 10120 Thailand",,Communication,02 2873531-41,02 2878230,www.aerothai.co.th,
Aeronautical Radio of Thailand Limited,(Head Office),"102 Ngamduplee, Tungmahamek, Sathorn, Bangkok 10120 Thailand",,Communication,02 2873531-41,02 2878230,www.aerothai.co.th,
Aeronautical Radio of Thailand Limited,(Head Office),"102 Ngamduplee, Tungmahamek, Sathorn, Bangkok 10120 Thailand",,Communication,02 2873531-41,02 2859565,www.aerothai.co.th,
AFM Flower Seeds (Thailand) Limited,,"399 Chiang Mai - Maejoe, Nong Han, Sansai, Chiang Mai 50290",,Food & Beverage,053 353810,053 353816,www.afmgroup.com ,
"Agility Co., Ltd.",,"136 Romklao Rd., Klongsampravej, Ladkrabang, Bangkok 10520",,Logistics,02 3263456,,,
"Agis Asia Pacific Co., Ltd.",,"26th Fl., Abdulrahim Place, 990 Rama IV Rd., Silom, Bangrak, Bangkok 10500 Thailand",,Packaging,02 2000522-3,02 2369751,http://www.agis-ap.com/,
"Agis Asia Pacific Co., Ltd.",,"26th Fl., Abdulrahim Place, 990 Rama IV Rd., Silom, Bangrak, Bangkok 10500 Thailand",,Packaging,02 2000522-3,02 2369751,http://www.agis-ap.com/,
Air Liquide (Thailand) Limited,(Head Office),"849, 14/F Vorawat Building, Unit 1402, Silom Rd., Bangrak, Bangkok 10500, Thailand",,Gas,02 6351600,02 6351601,,
Air Liquide (Thailand) Limited,(Head Office),"849, 14/F Vorawat Building, Unit 1402, Silom Rd., Bangrak, Bangkok 10500, Thailand",,Gas,02 6351600,02 6351601,,
Air Liquide (Thailand) Limited,(Head Office),"849, 14/F Vorawat Building, Unit 1402, Silom Rd., Bangrak, Bangkok 10500, Thailand",,Gas,02 6351600,02 6351601,,
"Ajinomoto Betagro Frozen Foods (Thailand) Co., Ltd.",,"218 Moo 1, Chong Sarika, Pattananikom, Lobburi 15220",,Food & Beverage,036 638375,036 638519,"www.betagro.com, www.ajinomoto.com",
"Ajinomoto Betagro Frozen Foods (Thailand) Co., Ltd.",,"218 Moo 1, Chong Sarika, Pattananikom, Lobburi 15220",,Food & Beverage,036 638375,036 638519,"www.betagro.com, www.ajinomoto.com",
"Ajinomoto Co., (Thailand) Limited",(Head Office),"487/1 Si Ayutthaya Rd., Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400",,Food & Beverage,"02 2451614, 02 2477000-3",,,
"Ajinomoto Co., (Thailand) Limited",(Head Office),"487/1 Si Ayutthaya Rd., Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400",,Food & Beverage,"02 2451614, 02 2477000-3",,,
"Ajinomoto Co., (Thailand) Limited",(Head Office),"487/1 Si Ayutthaya Rd., Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400",,Food & Beverage,"02 2451614, 02 2477000-3",02 2479550,www.ajinomoto.co.th,
"Ajinomoto Co., (Thailand) Limited",(Head Office),"487/1 Si Ayutthaya Rd., Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400",,Food & Beverage,"02 2451614, 02 2477000-3",,,
"Ajinomoto Co., (Thailand) Limited",(Head Office),"487/1 Si Ayutthaya Rd., Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400",,Food & Beverage,"02 2451614, 02 2477000-3",,,
"Ajinomoto Co., (Thailand) Limited",(Head Office),"487/1 Si Ayutthaya Rd., Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400",,Food & Beverage,"02 2451614, 02 2477000-3",02 2479550,www.ajinomoto.co.th,
"Ajinomoto Co., (Thailand) Limited",(Head Office),"487/1 Si Ayutthaya Rd., Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400",,Food & Beverage,"02 2451614, 02 2477000-3",,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Co., (Thailand) Limited",,"99 Moo 1, Bangkadi Sai-Nai Rd., T.Bangkadi, A.Muang, Pathum Thani 12000",,Food & Beverage,02 9639324-7,02 5012440,,
"Ajinomoto Frozen Foods (Thailand) Co., Ltd.",,"Hi-tech industrial estate: 59 Moo 2 Banpo, Bang pa-in, Ayutthaya 13160",,Food & Beverage,035 350001-4,035 350005,,
"Ajinomoto Frozen Foods (Thailand) Co., Ltd.",,"Hi-tech industrial estate: 59 Moo 2 Banpo, Bang pa-in, Ayutthaya 13160",,Food & Beverage,035 350001-4,035 350005,,
"Ajinomoto Frozen Foods (Thailand) Co., Ltd.",,"Hi-tech industrial estate: 59 Moo 2 Banpo, Bang pa-in, Ayutthaya 13160",,Food & Beverage,035 350001-4,,www.ajinomoto.com,
"Ajinomoto Frozen Foods (Thailand) Co., Ltd.",,"Hi-tech industrial estate: 59 Moo 2 Banpo, Bang pa-in, Ayutthaya 13160",,Food & Beverage,035 350001-4,,www.ajinomoto.com,
"Ajinomoto Frozen Foods (Thailand) Co., Ltd.",,"Hi-tech industrial estate: 59 Moo 2 Banpo, Bang pa-in, Ayutthaya 13160",,Food & Beverage,035 350001-4,035 350005,,
"Ajinomoto Frozen Foods (Thailand) Co., Ltd.",,"Hi-tech industrial estate: 59 Moo 2 Banpo, Bang pa-in, Ayutthaya 13160",,Food & Beverage,035 350001-4,035 350005,,
"Akara Mining Co., Ltd.",,"99 Moo 9 T. Khaochetlk, A. Tobklao, Phichit 66230 Thailand",,Mining,056 614500,,http://www.kingsgate.com.au/company/contact-chatree.htm,
"Akara Mining Co., Ltd.",,"99 Moo 9 T. Khaochetlk, A. Tobklao, Phichit 66230 Thailand",,Mining,056 614500,056 614190,,
Akzo Nobel Coatings Limited,(Nakornpathom),"34 Moo 4, Km. 28.5, Petchkasem Road, Omyai, Sampran, Nakornpathom 73160 Thailand",,"Chemical, Petrochemical, Petroleum, Oil & Gas",02 4290031,02 4290463,https://www.akzonobel.com/eka/aboutus/locations/location_finder_advanced.aspx?continent=AS&country=TH&city=&group=Specialty,Akzo Nobel Group
Akzo Nobel Coatings Limited,(Nakornpathom),"34 Moo 4, Km. 28.5, Petchkasem Road, Omyai, Sampran, Nakornpathom 73160 Thailand",,"Chemical, Petrochemical, Petroleum, Oil & Gas",02 4290031,02 4290463,https://www.akzonobel.com/eka/aboutus/locations/location_finder_advanced.aspx?continent=AS&country=TH&city=&group=Specialty,Akzo Nobel Group
ALSTOM (Thailand) Limited,,"999/12 Moo. 11, Klongdaan, Bang Bo, Samutprakarn 10550, Thailand",,Transportation,02 3137532-39,02 3137214,www.alstom.com,
ALSTOM (Thailand) Limited,,"999/12 Moo. 11, Klongdaan, Bang Bo, Samutprakarn 10550, Thailand",,Transportation,02 3137532-39,02 3137214,www.alstom.com,
Amadeus Asia Limited,(Head Office),"87/1 Capital Tower, All Seasons Place, 24th Fl., Wireless Rd., Lumpini, Phatumwan, Bangkok 10330",,IT Solution,02 6778300,02 6961609,www.amadeus.com,Amadeus Group
Amadeus Asia Limited,(Head Office),"87/1 Capital Tower, All Seasons Place, 24th Fl., Wireless Rd., Lumpini, Phatumwan, Bangkok 10330",,IT Solution,02 6778300,02 6961609,http://www.amadeus.com/web/amadeus/en_TH-TH/Amadeus-Home/About-us/Contact-us/Amadeus-local-offices/1259080684797-Page-AMAD_LocalOfficesPpal,Amadeus Group
Amadeus Asia Limited,(Head Office),"87/1 Capital Tower, All Seasons Place, 24th Fl., Wireless Rd., Lumpini, Phatumwan, Bangkok 10330",,IT Solution,02 6778300,,www.amadeus.com,Amadeus Group
Amadeus Asia Limited,(Head Office),"87/1 Capital Tower, All Seasons Place, 24th Fl., Wireless Rd., Lumpini, Phatumwan, Bangkok 10330",,IT Solution,02 6778300,,www.amadeus.com,Amadeus Group
Amadeus Asia Limited,(Head Office),"87/1 Capital Tower, All Seasons Place, 24th Fl., Wireless Rd., Lumpini, Phatumwan, Bangkok 10330",,IT Solution,02 6778300,02 6961609,www.amadeus.com,Amadeus Group
Amadeus Asia Limited,(Head Office),"87/1 Capital Tower, All Seasons Place, 24th Fl., Wireless Rd., Lumpini, Phatumwan, Bangkok 10330",,IT Solution,02 6778300,,www.amadeus.com,Amadeus Group
Amata B.Grimm Power Limited,(Head Office),"88 Dr.Gerhard Link Building, 16th Fl., Krungthepkreetha Rd., Huamark, Bangkapi, Bangkok 10240 Thailand",,Power,02 7103400,02 3794257,www.amatabgrimmpower.com,B.Grimm Group
Amata B.Grimm Power Limited,(Head Office),"88 Dr.Gerhard Link Building, 16th Fl., Krungthepkreetha Rd., Huamark, Bangkapi, Bangkok 10240 Thailand",,Power,02 7103400,02 3794257,www.amatabgrimmpower.com,B.Grimm Group
Amata B.Grimm Power Limited,(Head Office),"88 Dr.Gerhard Link Building, 16th Fl., Krungthepkreetha Rd., Huamark, Bangkapi, Bangkok 10240 Thailand",,Power,02 7103400,02 3794245,http://www.bgrimmpower.com/head-office/,B.Grimm Group
Amata B.Grimm Power Limited,(Head Office),"88 Dr.Gerhard Link Building, 16th Fl., Krungthepkreetha Rd., Huamark, Bangkapi, Bangkok 10240 Thailand",,Power,02 7103400,02 3794257,www.amatabgrimmpower.com,B.Grimm Group
Amata B.Grimm Power Limited,(Head Office),"88 Dr.Gerhard Link Building, 16th Fl., Krungthepkreetha Rd., Huamark, Bangkapi, Bangkok 10240 Thailand",,Power,02 7103400,02 3794257,www.amatabgrimmpower.com,B.Grimm Group
Amata B.Grimm Power Limited,(Head Office),"88 Dr.Gerhard Link Building, 16th Fl., Krungthepkreetha Rd., Huamark, Bangkapi, Bangkok 10240 Thailand",,Power,02 7103400,02 3794245,"www.amatabgrimmpower.com, www.bgrimmgroup.com",B.Grimm Group
Amata B.Grimm Power Service Limited,,"Amata Nakorn Industrial Estate (Chonburi), 700/370 Moo 6, Nongmaidaeng, Amphur Muang, Chonburi 20000, Thailand",,Power,038 743469-72,,http://www.bgrimmpower.com/head-office/plant-locations/,B.Grimm Group
Amata B.Grimm Power Service Limited,,"Amata Nakorn Industrial Estate (Chonburi), 700/370 Moo 6, Nongmaidaeng, Amphur Muang, Chonburi 20000, Thailand",,Power,038 743469-72,038 743473,http://www.bgrimmpower.com/head-office/plant-locations/,B.Grimm Group
Amata B.Grimm Power Service Limited,,"Amata Nakorn Industrial Estate (Chonburi), 700/370 Moo 6, Nongmaidaeng, Amphur Muang, Chonburi 20000, Thailand",,Power,038 743469-72,,http://www.bgrimmpower.com/head-office/plant-locations/,B.Grimm Group
"Amata Corporation Public Co., Ltd.",(Amata Office),"700 Moo 1, Bangna-Trad Rd., T.Klong Tamru, A.Muang Chonburi, Chonburi 20000",,Power,038 213007,,www.amata.com,Amata Group
"Amata Corporation Public Co., Ltd.",(Amata Office),"700 Moo 1, Bangna-Trad Rd., T.Klong Tamru, A.Muang Chonburi, Chonburi 20000",,Power,038 213007,,www.amata.com,Amata Group
"Amata Corporation Public Co., Ltd.",(Amata Office),"700 Moo 1, Bangna-Trad Rd., T.Klong Tamru, A.Muang Chonburi, Chonburi 20000",,Power,038 213007,,,Amata Group
"Amata Corporation Public Co., Ltd.",(Amata Office),"700 Moo 1, Bangna-Trad Rd., T.Klong Tamru, A.Muang Chonburi, Chonburi 20000",,Power,038 213007,,,Amata Group
"American Express (Thai) Co., Ltd.",,"S.P. Building, 388 Phaholyothin Rd., Samsennai, Phayathai, Bangkok 10400",,"Bank, Investment and Insurance",02 2735500,02 2730299,www.americanexpress.co.th,
"American Express (Thai) Co., Ltd.",,"S.P. Building, 388 Phaholyothin Rd., Samsennai, Phayathai, Bangkok 10400",,"Bank, Investment and Insurance",02 2735500,02 2730299,www.americanexpress.co.th,
Amway (Thailand) Limited,,"52/183 Ramkamhaeng Rd, Huamark, Bangkapi, Bangkok 10240 Thailand",,Consumer Product,02 8408000,,,
Amway (Thailand) Limited,,"52/183 Ramkamhaeng Rd, Huamark, Bangkapi, Bangkok 10240 Thailand",,Consumer Product,02 8408000,(662) 7351212,,
"Angvian Industry Co., Ltd.",,"889 Thai CC Tower 26th, South Sathorn Rd., Yannawa, Sathorn, Bangkok 10120, Thailand",,Food & Beverage,02 2100853-72,02 6758336,www.wangkanai.co.th,
"Angvian Industry Co., Ltd.",,"889 Thai CC Tower 26th, South Sathorn Rd., Yannawa, Sathorn, Bangkok 10120, Thailand",,Food & Beverage,02 2100853-72,02 6758336,www.wangkanai.co.th,
Aqua Nishihara Corporation Limited,(Head Office),"99/167-9 Thesabal-Songkroh Rd., Lardyao, Jatujak, Bangkok 10900 Thailand",,Stored Equipment,02 9543341-8,02 5802356-7,www.aqua.co.th,
Aqua Nishihara Corporation Limited,(Head Office),"99/167-9 Thesabal-Songkroh Rd., Lardyao, Jatujak, Bangkok 10900 Thailand",,Stored Equipment,02 9543341-8,02 5802356-7,www.aqua.co.th,
Aqua Nishihara Corporation Limited,(Head Office),"99/167-9 Thesabal-Songkroh Rd., Lardyao, Jatujak, Bangkok 10900 Thailand",,Stored Equipment,02 9543341-8,02 5802356-7,www.aqua.co.th,
Aqua Nishihara Corporation Limited,(Head Office),"99/167-9 Thesabal-Songkroh Rd., Lardyao, Jatujak, Bangkok 10900 Thailand",,Stored Equipment,02 9543341-8,02 5802356-7,www.aqua.co.th,
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(Head Office),"41 Sukhumvit 16, Sukhumvit Rd., Klongtoey, Klongtoey, Bangkok 10110, Thailand",,Hospitality,02 6631234,,http://www.the-ascott.com/,Ascott Group
Ascott International Management Thailand Limited,(HR Center),"187 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 Thailand",,Hospitality,02 6766868,,http://www.the-ascott.com/,Ascott Group
